OTUID,kingdom,phylum,class,order,family,genus,species,confidence
OTU_325,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,,,0.91
OTU_324,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Peptoniphilus,,1
OTU_327,Bacteria,,,,,,,0.96
OTU_326,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,1
OTU_321,Bacteria,,,,,,,0.98
OTU_320,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],,,,0.96
OTU_323,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,,1
OTU_322,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,0.96
OTU_3426,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.83
OTU_3427,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,,0.91
OTU_899,Bacteria,,,,,,,0.97
OTU_898,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,,,1
OTU_329,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,0.91
OTU_328,Bacteria,Tenericutes,Mollicutes,RF39,,,,0.92
OTU_3420,Bacteria,,,,,,,0.94
OTU_3421,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.9
OTU_3304,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,0.96
OTU_890,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,0.99
OTU_3701,Bacteria,OP11,OP11-3,,,,,1
OTU_897,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,0.91
OTU_896,Bacteria,Chloroflexi,Anaerolineae,A31,S47,,,1
OTU_895,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,0.98
OTU_894,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,,1
OTU_3303,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,,0.82
OTU_3228,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,,0.98
OTU_3229,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,,1
OTU_3558,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,,0.86
OTU_3559,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Holosporaceae,,,1
OTU_3220,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,,1
OTU_3221,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,,0.98
OTU_3222,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnobacter,,0.99
OTU_3223,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,,0.99
OTU_3224,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,1
OTU_3225,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,0.99
OTU_3226,Bacteria,Acidobacteria,DA052,Ellin6513,,,,0.99
OTU_3227,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,0.98
OTU_2919,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,,0.85
OTU_2918,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,1
OTU_3425,Bacteria,Bacteroidetes,,,,,,1
OTU_2911,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Clostridium,,0.92
OTU_2829,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,,,0.96
OTU_2913,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,,0.88
OTU_2912,Bacteria,,,,,,,1
OTU_2915,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,,0.97
OTU_2914,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,0.82
OTU_2917,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,0.81
OTU_2828,Bacteria,Proteobacteria,,,,,,0.95
OTU_431,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Larkinella,,1
OTU_430,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,1
OTU_433,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin515,,,1
OTU_432,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,,1
OTU_435,Bacteria,,,,,,,0.98
OTU_434,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,,1
OTU_437,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,,,1
OTU_436,Bacteria,,,,,,,0.91
OTU_439,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,,,1
