OTUId	fn500.2	fn501.2	fn502.2	fn504.2	fn505	fn506.2	fn507.2	fn508.1	fn509.2	eb_4.13v1	fn512.1	fn513.2	fn514.1	fn514.2	fn515	fn518	fn519	fn521	fn522.1	fn522.2	fn524.2	fn525	fn528.2	fn529.1	fn530.1	fn536.2	fn537.2	fn541.1	fn543.1	fn545.1	fn557.2	fn558.2	fn562.1	fn564.2	eb_4.13v2	fn566.2	fn569.2	fn570.2	fn577.1	fn578.1	fn584.2	fn590.2	fn592.2	fn594.1	fn599.2	fn602.2	fn608.1	fn610.1	fn611.1	fn617.1	fn619.1	fn620.2	fn622.1	fn625	fn627.2	fn628.2	fn629.1	fn630.1	fn633.2	fn634.2	fn636	fn638	fn639.2	fn644.2	fn646	fn647.1	fn648.1	fn650.1	fn669.1	fn671.1	fn672.1	fn673.1	fn681	fn602.5	pb_4.13	Z2	Z3	Z4	fn503.1
OTU_32	912	546	0	0	0	804	0	18	26	0	6	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_60	205	0	0	18	0	88	0	0	0	0	88	1	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	47	60	0	0	0	0	0	0	0	0	0	0	0
OTU_240	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_66	482	0	0	0	0	0	0	0	0	0	98	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_55	369	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0
OTU_149	166	150	0	42	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_86	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_40	384	78	0	45	249	0	0	3	8	177	1	155	0	0	0	0	0	0	294	0	0	0	0	0	211	1	0	0	0	345	0	195	0	0	0	0	2	91	0	3	0	11	0	0	0	92	0	0	0	0	0	405	0	0	0	59	51	73	0	0	0	0	0	80	0	0	0	0	9	0	0	0	0	149	0	0	2	0	1
OTU_264	102	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_44	189	223	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_212	101	54	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_379	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
