OTUID,kingdom,phylum,class,order,family,genus,species,confidence
OTU_1,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida quercitrusa,0.68
OTU_2,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,Macrolepiota fuliginosa,0.05
OTU_3,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Kodamaea,Kodamaea ohmeri,0.93
OTU_4,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida fructus,0.16
OTU_5,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania exigua,1
OTU_6,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida digboiensis,0.07
OTU_7,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_Incertae sedis,Rhodotorula,Rhodotorula colostri,0.74
OTU_8,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida apicola,0.94
OTU_9,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Kodamaea,Kodamaea ohmeri,0.87
OTU_10,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_Incertae sedis,Cryptococcus g1,Cryptococcus flavescens,0.43
OTU_11,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida intermedia,0.38
OTU_12,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Wickerhamomyces,Wickerhamomyces edaphicus,1
OTU_13,Fungi,Ascomycota,Pezizomycotina_Incertae sedis,Pezizomycotina_Incertae sedis_Incertae sedis_Incertae sedis,Pezizomycotina_Incertae sedis_Incertae sedis_Incertae sedis_Incertae sedis,Chalara,Chalara sp olrim71,0.53
OTU_14,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus g2,Cryptococcus albidosimilis / Cryptococcus diffluens,0.9
OTU_15,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Phaeocollybia,Phaeocollybia spadicea,0.03
OTU_16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Phaeocollybia,Phaeocollybia spadicea,0.02
OTU_17,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus g2,Cryptococcus chernovii / Cryptococcus stepposus,0.74
OTU_18,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora uvarum,0.88
OTU_19,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_Incertae sedis,Phoma,Phoma epicoccina,0.59
OTU_20,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida intermedia,0.54
OTU_21,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora delbrueckii,1
OTU_22,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida digboiensis,0.06
OTU_23,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Yamadazyma,Yamadazyma mexicana,0.51
OTU_24,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Aureobasidium,Aureobasidium pullulans,0.57
OTU_25,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania hellenica,0.06
OTU_26,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_Incertae sedis,Cryptococcus g1,Cryptococcus luteolus,0.93
OTU_27,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hyponectriaceae,Microdochium,Microdochium phragmitis,0.71
OTU_28,Fungi,Zygomycota,Mucoromycotina_Incertae sedis,Mortierellales,Mortierellaceae,Mortierella,Mortierella epigama,0.08
OTU_29,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_Incertae sedis,Sporobolomyces,Sporobolomyces carnicolor,1
OTU_30,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida humilis,1
OTU_31,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia affinis,0.55
OTU_32,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella atramentaria,1
OTU_33,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum silvicola,0.83
OTU_34,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_Incertae sedis,Rhodotorula,Rhodotorula nothofagi,0.95
OTU_35,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida intermedia,0.49
OTU_36,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_Incertae sedis,Cryptococcus g1,Cryptococcus sp LRB_2012a,1
OTU_37,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_Incertae sedis,Cryptococcus g1,Cryptococcus cellulolyticus,0.59
OTU_38,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Cyberlindnera,Cyberlindnera fabianii,0.03
OTU_39,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporidiobolus,Sporidiobolus pararoseus,0.63
OTU_40,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Venturiaceae,Apiosporina,Apiosporina morbosa,0.18
OTU_41,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Botryosphaeria rhodina,0.41
OTU_42,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia fermentans,0.53
OTU_43,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginales_Incertae sedis,Farysizyma,Farysizyma itapuensis,0.11
OTU_44,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lignosus,Lignosus rhinocerus,1
OTU_45,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Kodamaea,Kodamaea ohmeri,0.36
OTU_46,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida gosingica,0.11
OTU_47,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida quercitrusa,0.96
OTU_48,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_Incertae sedis,Phoma,Phoma fungicola,0.52
OTU_49,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella populicola,1
OTU_50,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Wickerhamomyces,Wickerhamomyces ciferrii,0.77
OTU_51,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginales_Incertae sedis,Farysizyma,Farysizyma itapuensis,0.04
OTU_52,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_Incertae sedis,Cryptococcus g1,Cryptococcus sp XVII (Cryptococcus sp LCF_06 / Cryptococcus sp SJ8L05),0.94
OTU_53,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,Pestalotiopsis aquatica / Pestalotiopsis crassiuscula,0.95
OTU_54,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium glabrum / Penicillium thomii,0.75
OTU_55,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma sinnamariense,0.35
OTU_56,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_Incertae sedis,Candida,Candida fructus,0.36
OTU_57,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis crataegensis,1
