#SampleID,date,foodtype,species,chempartner,notes
fn500.2,3/22/14,nectar,Stachytarpheta frantzii,500.1,same stalk
fn501.2,3/22/14,nectar,Stachytarpheta frantzii,500.1,500.1 was same plant. 501.1 was same stalk.
fn502.2,3/22/14,nectar,Stachytarpheta frantzii,NA,502.1 was same plant.
fn503.1,3/22/14,nectar,Stachytarpheta frantzii,503.2,same stalk
fn504.2,3/22/14,nectar,Stachytarpheta frantzii,504.1,same stalk
fn505,3/22/14,nectar,Hamelia patens,NA,this was the only sample from this plant
fn506.2,3/22/14,nectar,Hamelia patens,506.1,same stalk
fn507.2,3/22/14,nectar,Psiguria trifila,507.1,same flower
fn508.1,3/22/14,nectar,Psiguria trifila,508.2,same flower
fn509.2,3/22/14,nectar,Psiguria trifila,509.1,same flower
fn512.1,3/23/14,nectar,Hamelia patens,512.2,same plant
fn513.2,3/23/14,nectar,Hamelia patens,512.2,same plant.  Also 513.1 was the same plant.
fn514.1,3/23/14,nectar,Ruellia terminalis,NA,no chem partner
fn514.2,3/23/14,nectar,Ruellia terminalis,NA,no chem partner
fn515,3/23/14,nectar,Psychotria elata,NA,no chem partner
fn518,3/23/14,nectar,Ruellia terminalis,517,different plants
fn519,3/23/14,nectar,Psychotria elata,NA,no chem partner
fn521,3/23/14,nectar,Psychotria elata,NA,no chem partner
fn522.1,3/23/14,nectar,Ruellia terminalis,NA,no chem partner
fn522.2,3/23/14,nectar,Ruellia terminalis,NA,no chem partner
fn524.2,3/23/14,nectar,Psiguria trifila,NA,524.1 from same flower
fn525,3/23/14,nectar,Psiguria trifila,NA,524.1 from same plant
fn528.2,3/24/14,nectar,Odontonema cuspidatum,528.1,same plant
fn529.1,3/24/14,nectar,Odontonema cuspidatum,529.2,same plant
fn530.1,3/24/14,nectar,Odontonema cuspidatum,530.2,same plant
fn536.2,3/24/14,nectar,Hippobroma longiflora,536.1,same flower
fn537.2,3/24/14,nectar,Hippobroma longiflora,537.1,same flower
fn541.1,3/25/14,nectar,Psychotria suerrensis,541.2,same tree
fn543.1,3/25/14,nectar,Psychotria suerrensis,543.2,same tree
fn545.1,3/25/14,nectar,Psychotria suerrensis,545.2,same tree
fn557.2,3/26/14,nectar,Ruellia terminalis,557.1,same flower
fn558.2,3/26/14,nectar,Ruellia terminalis,558.1,same plant
fn562.1,3/26/14,nectar,Psychotria suerrensis,562.2,same plant
fn564.2,3/26/14,nectar,Psychotria suerrensis,564.1,same plant
fn566.2,3/26/14,nectar,Psychotria suerrensis,566.1,same plant
fn569.2,3/26/14,fruit,Dipteryx oleifera,569.1,same seed
fn570.2,3/26/14,fruit,Dipteryx oleifera,570.1,same seed
fn577.1,3/26/14,fruit,Dipteryx oleifera,577.2,same seed
fn578.1,3/27/14,fruit,trap,578.2,same trap
fn584.2,3/27/14,fruit,trap,584.1,same trap
fn590.2,3/27/14,fruit,trap,590.1,same trap
fn592.2,3/27/14,nectar,Odontonema cuspidatum,592.1,same plant
fn594.1,3/27/14,nectar,Hippobroma longiflora,594.2,same flower
fn599.2,3/28/14,nectar,Psiguria trifila,599.1,same flower
fn602.2,3/28/14,nectar,Psiguria trifila,602.1,same flower
fn605.2,3/28/14,nectar,Psiguria trifila,605.1,same flower
fn608.1,3/28/14,nectar,Stachytarpheta frantzii,608.2,same plant
fn610.1,3/28/14,nectar,Stachytarpheta frantzii,610.2,same plant
fn611.1,3/28/14,nectar,Stachytarpheta frantzii,611.2,same plant
fn617.1,3/29/14,nectar,Hamelia patens,617.2,same plant
fn619.1,3/29/14,nectar,Hamelia patens,619.2,same plant
fn620.2,3/29/14,nectar,Hamelia patens,620.1,same plant
fn622.1,3/29/14,nectar,Hamelia patens,622.2,same plant
fn625,3/29/14,nectar,Hippobroma longiflora,NA,"We do have 624, which was a different plant in the same location"
fn626.2,3/29/14,nectar,Hippobroma longiflora,626.1,same flower
fn627.2,3/29/14,nectar,Hippobroma longiflora,627.1,same flower
fn628.2,3/29/14,fruit,Dipteryx oleifera,628.1,same seed
fn629.1,3/29/14,fruit,Dipteryx oleifera,629.2,same seed
fn630.1,3/29/14,fruit,Dipteryx oleifera,630.2,same seed
fn633.2,3/29/14,control,sterile water blank,633.1,sterile rinse water for fruit
fn634.2,3/29/14,control,sterile water blank,NA,NA
fn636,3/29/14,nectar,Warszewiczia coccinea,639.1,same plant
fn638,3/29/14,nectar,Warszewiczia coccinea,640.1,same plant
fn639.2,3/29/14,nectar,Warszewiczia coccinea,640.2,same plant
fn644.2,3/30/14,nectar,Psychotria elata,644.1,same floret
fn646,3/30/14,nectar,Chrysothemis friedrichsthaliana,682.1,collected on a different date and at a different location
fn647.1,3/30/14,fruit,trap,647.2,same trap
fn648.1,3/30/14,fruit,trap,648.2,same trap
fn650.1,3/30/14,fruit,trap,650.2,same trap
fn669.1,3/30/14,fruit,Dipteryx oleifera,669.2,same seed
fn671.1,3/30/14,fruit,Dipteryx oleifera,671.2,same seed
fn672.1,3/31/14,control,water,672.2,control for the nectar samples
fn673.1,3/31/14,control,water,NA,NA
fn681,3/31/14,control,CTAB blank,NA,NA
fneb218,12/9/14,control,16s_eb,NA,NA
fneb242,4/14/15,control,16s_eb,NA,NA
fnpb200,11/11/14,control,16s_pb,NA,NA
fnpb225,12/9/14,control,16s_pb,NA,NA
fnpb253,4/14/15,control,16s_pb,NA,NA
fnpb272,12/9/14,control,16s_pb,NA,NA
eb_4.13v1,4/13/15,control,ITS_eb,NA,fneb299
eb_4.13v2,4/13/15,control,ITS_eb,NA,fneb325
pb_4.13,4/13/15,control,ITS_pb,NA,fnpb367
Z2,NA,rmbl,rmbl donor,NA,NA
Z3,NA,rmbl,rmbl donor,NA,NA
Z4,NA,rbml,rmbl donor,NA,NA
